participant_id,group,age_round,GI_improve,concentration_post,active_days
635,crosswords,47,1.224324507,4,60
636,crosswords,37,4.998189183,4,59
637,crosswords,25,5.300921916,4,34
638,lumosity,25,15.19190871,4,60
639,lumosity,33,-6.350172749,4,45
640,crosswords,20,-1.098181424,4,23
641,lumosity,64,3.603004039,4,66
642,lumosity,25,21.88384431,4,56
643,crosswords,57,-9.562041134,2,48
644,lumosity,51,9.641302681,4,66
645,lumosity,62,1.861005599,4,65
646,crosswords,57,7.812144124,4,59
647,lumosity,29,8.740031837,4,20
648,crosswords,24,-24.25410739,2,21
649,lumosity,59,-2.524481572,4,46
650,lumosity,40,9.78305737,3,22
651,lumosity,24,11.11441549,4,31
652,crosswords,40,13.00515306,4,52
653,lumosity,53,9.420131213,2,14
654,crosswords,22,1.085696685,4,49
655,crosswords,66,-5.136529315,4,63
656,lumosity,24,-0.458961146,4,62
657,lumosity,48,29.27581232,4,56
658,crosswords,44,-10.34681262,4,45
659,lumosity,19,-20.04236398,4,52
660,crosswords,25,-14.3640379,4,53
661,lumosity,24,4.172878644,4,45
662,crosswords,55,-2.193401056,5,45
663,crosswords,40,-2.340798427,2,52
664,crosswords,23,17.95403485,4,5
665,crosswords,32,2.505463106,4,20
666,lumosity,23,11.77163777,2,68
667,crosswords,52,19.62762903,NA,56
668,crosswords,18,-6.975007605,3,25
669,lumosity,52,12.80187546,4,56
670,lumosity,29,-1.338763297,3,28
671,lumosity,33,15.1684647,4,53
672,lumosity,52,-1.179243337,4,13
673,lumosity,61,-19.44142587,2,39
674,crosswords,28,-13.27576773,2,21
675,crosswords,59,-5.894275649,4,69
676,lumosity,52,-5.209924007,NA,70
677,lumosity,68,5.706936456,4,64
678,lumosity,61,4.889534726,4,58
679,crosswords,70,18.89293355,4,50
680,lumosity,24,8.01290757,3,60
681,lumosity,50,15.40126998,4,43
682,lumosity,27,-1.123593091,3,37
683,lumosity,19,-4.603299275,5,13
684,lumosity,33,2.370717028,4,51
685,lumosity,54,-10.80067395,4,50
686,lumosity,24,4.466823927,5,39
687,lumosity,23,6.675870151,4,39
688,lumosity,40,25.9974541,4,41
689,crosswords,36,6.910602221,4,65
690,lumosity,25,-1.913691634,5,66
691,lumosity,41,4.875874185,4,30
692,lumosity,61,12.98647879,4,59
693,lumosity,25,14.24586958,2,11
694,crosswords,61,16.13451532,2,12
695,lumosity,22,-1.371367503,4,51
696,crosswords,47,17.44577827,4,42
697,crosswords,19,-1.529669293,3,5
698,crosswords,28,2.578736112,5,54
699,lumosity,25,13.81408427,5,63
700,crosswords,20,3.771091965,3,60
701,crosswords,29,3.674239103,3,58
702,crosswords,71,6.132346612,4,50
703,crosswords,26,27.77790412,3,9
704,crosswords,31,2.74313205,4,58
705,lumosity,58,6.661115217,4,34
706,crosswords,24,8.553055059,3,60
707,crosswords,29,9.665367474,4,3
708,crosswords,23,-4.089735233,4,59
709,lumosity,67,13.29713247,5,54
710,lumosity,31,0.513651449,4,29
711,lumosity,28,0.819985051,4,51
712,crosswords,75,17.03848569,5,44
713,lumosity,22,3.875980636,4,50
714,lumosity,56,3.492548727,4,62
715,crosswords,39,6.532349762,3,49
716,lumosity,46,11.51684837,1,11
717,crosswords,48,8.60281255,4,61
718,crosswords,35,2.162759533,5,56
